Points,Player,Team,Opponent,Date,Score,MP,FGM,FGA,3PM,3PA,FTM,FTA 
100,Wilt Chamberlain,Philadelphia Warriors,New York Knicks,03/02/62,169-147,48,36,63,NA,NA,28,32
81,Kobe Bryant*,Los Angeles Lakers,Toronto Raptors,01/22/06,122-104,42,28,46,7,13,18,20
78,Wilt Chamberlain*,Philadelphia Warriors,Los Angeles Lakers,12/08/61,147-151,63,31,62,NA,NA,16,31
73,Wilt Chamberlain*,Philadelphia Warriors,Chicago Packers,01/13/62,135-117,48,29,48,NA,NA,15,25
73,Wilt Chamberlain*,San Francisco Warriors,New York Knicks,11/16/62,127-111,48,29,43,NA,NA,15,19
73,David Thompson*,Denver Nuggets,Detroit Pistons,04/09/78,137-139,43,28,38,NA,NA,17,20
73,Luka Doncic,Dallas Mavericks,Atlanta Hawks,01/26/24,148-143,45,25,33,8,13,15,16
72,Wilt Chamberlain*,San Francisco Warriors,Los Angeles Lakers,11/03/62,115-127,NA,29,48,NA,NA,14,18
71,Elgin Baylor*,Los Angeles Lakers,New York Knicks,11/15/60,123-108,45,28,48,NA,NA,15,18
71,David Robinson*,San Antonio Spurs,Los Angeles Clippers,04/24/94,112-97,44,26,41,1,2,18,25
71,Donovan Mitchell,Cleveland Cavaliers,Chicago Bulls,01/02/23,145-134,50,22,34,7,15,20,25
71,Damian Lillard,Portland Trail Blazers,Houston Rockets,02/26/23,131-114,39,22,38,13,22,14,14
70,Wilt Chamberlain*,San Francisco Warriors,Syracuse Nationals,03/10/63,148-163,48,27,38,NA,NA,16,22
70,Devin Booker,Phoenix Suns,Boston Celtics,03/24/17,120-130,45,21,40,4,11,24,26
70,Joel Embiid,Philadelphia 76ers,San Antonio Spurs,01/22/24,133-123,37,24,41,1,2,21,23
69,Michael Jordan*,Chicago Bulls,Cleveland Cavaliers,03/28/90,117-113,50,23,37,2,6,21,23
68,Wilt Chamberlain*,Philadelphia 76ers,Chicago Bulls,12/16/67,143-123,NA,30,40,NA,NA,8,22
68,Pete Maravich*,New Orleans Jazz,New York Knicks,02/25/77,124-107,43,26,43,NA,NA,16,19
67,Wilt Chamberlain*,Philadelphia Warriors,New York Knicks,03/09/61,135-126,NA,27,37,NA,NA,13,17
67,Wilt Chamberlain*,Philadelphia Warriors,St. Louis Hawks,02/17/62,121-128,48,26,44,NA,NA,15,20
67,Wilt Chamberlain*,Philadelphia Warriors,New York Knicks,02/25/62,135-149,48,25,38,NA,NA,17,22
67,Wilt Chamberlain*,San Francisco Warriors,Los Angeles Lakers,01/11/63,129-134,NA,28,47,NA,NA,11,17
66,Wilt Chamberlain*,Los Angeles Lakers,Phoenix Suns,02/09/69,134-116,48,29,35,NA,NA,8,18
65,Wilt Chamberlain*,Philadelphia Warriors,Cincinnati Royals,02/13/62,132-152,48,24,40,NA,NA,17,30
65,Wilt Chamberlain*,Philadelphia Warriors,St. Louis Hawks,02/27/62,147-137,48,25,43,NA,NA,15,20
65,Wilt Chamberlain*,Philadelphia 76ers,Los Angeles Lakers,02/07/66,132-125,NA,28,43,NA,NA,9,20
